1,23574
1,7027
1,1069
2,22960
2,19304
2,17477
3,19688
3,16395
3,4483
4,21724
4,18162
4,8324
6,14320
6,12231
6,2307
7,17026
7,13433
7,12416
7,10211
7,4882
8,5353
8,1425
9,21777
10,13447
11,11941
11,8299
11,5201
11,3729
11,1118
11,527
12,18975
12,17632
12,5143
13,5106
13,3911
14,2814
15,19161
15,12160
15,4949
16,6741
16,6705
16,5587
16,3521
17,21308
17,14276
17,5665
17,3104
18,24980
18,8137
18,5555
19,17366
19,16892
19,16597
20,20773
20,1945
21,5481
22,21253
22,19654
23,24739
23,13201
23,3182
23,1440
24,21706
24,15202
24,13559
24,9700
24,8439
24,4164
24,2363
25,12723
27,17887
27,14773
27,11817
27,7864
28,18681
29,22911
29,16721
29,12784
29,9017
30,23592
30,18838
30,5935
30,3547
31,9320
32,22079
34,21633
34,18446
34,13817
34,13788
34,9663
35,3554
36,17159
36,15818
36,8981
36,3647
38,22110
38,21056
38,18989
39,14989
39,6837
39,2579
40,18973
40,1175
41,10697
42,13566
43,14471
43,9989
43,5159
43,2927
44,22808
44,9851
45,13350
45,6005
46,20960
46,8295
46,4235
46,1332
46,1298
47,905
48,23030
48,22045
48,20815
48,11149
48,5752
49,5000
50,24075
50,16093
50,4083
50,1707
51,20974
51,14639
52,17313
52,10779
53,15084
53,10291
53,8335
53,6333
54,16829
54,13660
54,11024
54,5242
55,23832
55,19232
55,17844
56,18952
56,16605
56,9289
57,17512
57,890
58,5310
58,4406
58,2012
59,13870
59,11012
59,778
60,21303
60,17096
60,195
61,12349
61,11250
61,6532
62,24868
62,22801
62,16950
62,6873
63,15747
63,4701
64,24001
64,23577
65,24114
65,21714
65,20245
65,13954
65,7971
66,24350
66,22791
66,20992
66,2664
67,14569
67,11994
68,24555
68,6632
69,23219
69,6700
70,18990
70,13403
71,21069
71,18701
71,17362
71,17168
71,16959
71,10832
72,17266
73,20401
73,16844
73,16412
73,14148
73,13724
73,9955
74,22824
75,20076
75,6877
75,6151
76,17122
77,23873
77,14667
77,9709
77,7780
78,747
80,14517
80,13349
80,9101
80,2610
81,18682
81,17337
81,14339
83,19996
83,17288
83,4214
83,1545
84,23271
84,13632
84,6214
84,5880
85,21113
85,11521
87,21762
87,11511
88,18114
88,11209
88,9805
89,13895
89,12162
90,3529
91,8075
91,7429
91,5130
91,2981
92,22623
93,20893
93,18984
93,11257
93,3738
94,1002
96,17944
96,12087
96,8517
97,22327
97,4881
98,2713
98,1376
99,18436
99,11911
99,6402
100,23012
100,22215
101,15831
101,12830
101,9203
101,1382
102,1780
103,20424
103,18719
103,17147
104,21467
104,11296
104,4463
105,15892
106,21238
106,19380
106,18347
106,13021
107,17435
107,9489
108,12094
108,11797
108,1705
109,20424
109,18719
109,17147
110,14314
111,24851
111,16931
111,16735
111,15610
111,5693
113,24873
113,14254
113,2278
114,21550
114,21305
114,11304
114,8809
114,6834
115,22338
115,11471
115,9592
115,4246
116,15365
116,9564
117,21179
117,4317
118,12998
119,23801
119,13805
119,12583
119,152
120,6868
121,21627
121,21537
122,18521
122,15609
122,14407
122,7260
123,15364
123,1958
124,24946
124,20383
124,9943
124,3292
125,10780
125,6397
126,24150
126,23930
126,23103
127,23086
127,17751
127,10067
127,2942
127,2147
128,10059
128,2213
129,23086
129,17751
129,10067
129,2942
129,2147
130,19043
130,13653
130,12476
130,9341
131,13113
131,11127
131,147
132,11680
132,7265
132,4036
133,13042
133,7178
134,17569
134,12567
134,5731
135,24986
135,20230
135,12207
136,21602
136,19047
136,11147
136,5206
136,4857
137,12427
137,12045
137,8761
137,4035
138,17988
138,13505
138,1926
139,19133
139,6067
141,17885
141,9903
141,8893
141,8565
141,8537
142,11930
143,24780
143,23549
143,9027
143,1441
144,16337
144,5459
145,22726
145,15587
145,7522
147,3209
147,589
148,8907
148,3279
148,257
149,18059
149,15447
150,9301
150,2295
150,665
151,21482
151,20431
152,24742
152,19165
152,15311
152,14825
153,11623
154,6298
155,16098
155,14808
156,20298
157,24883
157,18759
157,3419
158,23018
158,17467
158,12302
158,9345
159,16692
161,18121
161,2578
161,2505
162,20155
162,18563
162,17189
162,11997
162,11121
162,9232
163,19777
163,8793
163,5302
163,2182
164,23315
164,19736
164,14962
164,13549
164,11828
164,8743
164,5220
165,22702
165,21419
165,15798
166,2564
166,1751
167,23337
167,8803
168,18531
168,16443
169,23166
169,20731
169,13305
170,18177
170,12481
170,9037
170,6443
171,9115
171,6576
172,20118
172,16103
172,13465
173,11806
173,4456
173,4314
173,2149
173,53
174,8557
175,8935
175,6374
175,211
176,22404
176,17426
176,3969
177,17144
177,16588
177,3184
179,18287
179,17772
179,12051
180,21073
180,19445
180,19024
181,18015
181,13096
181,9082
181,2772
182,14015
182,9605
182,2767
182,483
183,3228
183,2976
184,4666
185,15111
185,5298
186,14870
186,2205
186,807
187,22346
188,3798
190,16347
191,14332
191,5849
192,21647
192,18813
192,10715
192,7515
193,19711
193,18099
193,15647
193,11519
194,8729
194,4617
196,16704
196,9266
197,21895
197,17585
197,6629
197,1103
198,3005
199,4735
200,16416
200,13908
200,7315
200,6590
200,4148
201,20682
201,12313
202,9352
202,5910
202,2877
203,13226
203,7849
203,4193
204,22395
204,559
205,24169
205,17511
205,5148
205,398
206,23497
206,13840
206,10609
206,6938
207,23565
207,20086
207,2244
208,18695
208,3211
209,22314
209,6913
209,5384
209,3769
210,19778
210,13764
210,4915
211,21552
211,3768
212,19178
213,20822
213,17571
213,5230
214,17076
214,9966
214,3586
215,13742
215,4107
216,14637
216,10227
218,23378
218,21370
218,19561
218,13824
218,12020
218,10230
219,4680
220,23044
220,18122
220,13078
220,4618
221,18973
221,1175
222,11784
223,18908
224,20404
224,18271
224,15436
225,12228
225,8367
225,3008
226,21711
226,12493
226,4807
227,23446
227,12608
228,24397
228,21551
228,20238
228,8049
229,9580
229,9366
229,8344
230,21899
230,16035
230,14383
231,23917
231,9871
231,6748
232,16026
232,7063
232,929
234,24615
234,11128
234,791
235,13099
235,5628
236,18583
236,12187
237,22931
237,15787
237,14082
237,13076
237,12287
237,11703
237,9837
237,4934
237,2288
238,14504
238,5399
239,20920
239,13353
240,14106
240,5180
241,16834
242,16991
242,15379
242,3114
243,19863
244,21608
244,16425
244,8852
244,2662
245,15453
245,8177
245,1289
246,19888
246,16661
246,7580
248,23401
249,542
249,83
250,22400
250,15862
250,13548
250,11207
250,1976
251,20659
251,1801
252,21606
253,19431
253,7915
254,2885
255,24692
255,9073
255,5807
256,21245
256,15682
256,9858
256,8681
257,18470
257,15642
257,9098
257,727
258,6566
258,2522
258,1147
259,23494
259,758
260,10523
261,9546
261,4090
261,2133
262,23285
262,21654
262,15937
262,3032
263,20760
264,12139
264,10444
265,19667
265,1657
266,20937
266,19649
266,16814
266,8041
267,21553
267,11286
268,2421
269,23992
269,19054
269,7113
269,4282
270,24847
270,17890
270,11401
270,8397
270,7400
271,19760
271,12180
271,56
272,22892
272,21728
272,7535
273,15298
273,12006
274,10536
274,296
275,23343
275,22924
275,20678
275,14439
275,7064
276,14348
276,13059
276,11008
276,2161
278,19239
278,16111
279,14928
279,7600
280,9885
280,6927
281,7477
281,5297
281,1082
282,24685
282,16349
282,15438
282,7249
282,6332
282,5189
282,2488
283,10600
283,5511
283,4305
284,5598
285,3434
286,24917
286,2211
286,2075
287,19169
287,3538
287,2268
288,17310
288,3383
289,21102
